field.status.status,field.latitude,field.longitude
1,33.5954619333,130.219074367
1,33.595461815,130.219074407
1,33.595461775,130.219074487
1,33.5954616367,130.21907457
1,33.595461495,130.219074537
1,33.5954614417,130.21907456
1,33.5954615583,130.219074438
1,33.595461595,130.219074402
1,33.5954615933,130.219074392
1,33.5954614767,130.219074358
1,33.59546137,130.219074297
1,33.595461225,130.21907419
1,33.5954610317,130.219074165
1,33.5954609483,130.21907436
1,33.59546095,130.219074517
1,33.595460955,130.219074578
1,33.59546091,130.21907468
1,33.5954608133,130.219074892
1,33.5954607983,130.219074958
1,33.5954610167,130.219075192
1,33.5954609083,130.219075103
1,33.5954607433,130.219074967
1,33.5954606117,130.219075018
1,33.5954604483,130.219075178
1,33.59546036,130.219075377
1,33.5954603233,130.219075487
1,33.5954604283,130.219075305
1,33.5954605633,130.219074945
1,33.5954606917,130.219074703
1,33.595460775,130.219074565
1,33.59546091,130.21907447
1,33.5954609767,130.219074382
1,33.5954610383,130.219074322
1,33.5954610417,130.219074282
1,33.5954610333,130.219074253
1,33.59546099,130.219074282
1,33.59546105,130.219074273
1,33.5954612533,130.21907421
1,33.5954615067,130.219074003
1,33.595461655,130.219073968
1,33.5954616267,130.21907403
1,33.5954617067,130.219074017
1,33.5954618167,130.21907387
1,33.595461765,130.21907376
1,33.5954616817,130.219073597
1,33.5954617433,130.21907338
1,33.5954618183,130.219073187
1,33.5954617517,130.219073083
1,33.59546175,130.219073162
1,33.5954617283,130.219073187
1,33.595461705,130.21907318
1,33.5954616833,130.219073245
1,33.59546149,130.219073837
1,33.5954614683,130.219073953
1,33.5954615117,130.219073973
1,33.5954615883,130.219073947
1,33.5954615983,130.219074012
1,33.5954616233,130.219074267
1,33.5954616233,130.219074452
1,33.5954615967,130.219074542
1,33.5954616567,130.219074517
1,33.59546161,130.219074422
1,33.5954615833,130.219074338
1,33.5954615217,130.219074412
1,33.5954615367,130.219074462
1,33.5954615683,130.219074347
1,33.5954616267,130.219074285
1,33.5954616817,130.219074237
1,33.5954616983,130.21907422
1,33.5954616333,130.219074267
1,33.5954615717,130.21907432
1,33.595461565,130.219074327
1,33.5954615583,130.219074297
1,33.5954615733,130.219074228
1,33.5954615417,130.219074178
1,33.59546154,130.219074163
1,33.595461535,130.219074148
1,33.5954616783,130.219073993
1,33.5954619417,130.219073695
1,33.5954620267,130.219073677
1,33.5954619267,130.219073745
1,33.5954616733,130.219074002
1,33.5954615033,130.219074183
1,33.595461535,130.219074662
1,33.5954615267,130.219075397
1,33.5954613983,130.219075932
1,33.5954614817,130.219076235
1,33.5954615267,130.219076272
1,33.5954616117,130.219076183
1,33.5954616917,130.219076168
1,33.5954618383,130.21907614
1,33.595461775,130.219076182
1,33.595461755,130.219076163
1,33.595461735,130.219076207
1,33.595461675,130.219076113
1,33.5954617067,130.219076138
1,33.595461695,130.219076035
1,33.5954617567,130.219076133
1,33.5954616533,130.21907614
1,33.5954615917,130.219076187
1,33.595461665,130.219076078
1,33.59546177,130.219075962
1,33.5954618383,130.219075912
1,33.5954618583,130.219075865
1,33.5954618,130.219075902
1,33.5954617783,130.219075927
1,33.5954618333,130.21907593
