status,lat,lng
1,33.5959783867,130.219623112
1,33.59597739,130.219622442
1,33.59597628,130.21962134
1,33.59597506,130.21962046
1,33.5959736367,130.219619688
1,33.5959724783,130.219619138
1,33.59597125,130.21961861
1,33.595969935,130.219617943
1,33.5959686817,130.21961728
1,33.5959674883,130.219616712
1,33.5959660783,130.219616227
1,33.5959646817,130.219615782
1,33.59596346,130.219615295
1,33.5959621383,130.219614923
1,33.5959608767,130.219614673
1,33.595959675,130.219614563
1,33.5959584167,130.2196146
1,33.5959568867,130.21961453
1,33.5959556483,130.219614062
1,33.5959543533,130.219613968
1,33.595953175,130.219613992
1,33.5959518717,130.219613988
1,33.5959508017,130.219614088
1,33.5959497783,130.219614075
1,33.5959488683,130.219613675
1,33.5959480467,130.219613398
1,33.5959484917,130.219585987
1,33.5959475733,130.21958662
1,33.5959462733,130.21958622
1,33.5959456067,130.219586532
1,33.5959447933,130.21958655
1,33.5959439117,130.219587007
1,33.59594277,130.219586903
1,33.5959415767,130.219586867
1,33.5959402967,130.21958696
1,33.5959390417,130.219587058
1,33.595937695,130.219587177
1,33.5959365417,130.2195872
1,33.595935195,130.219587355
1,33.5959338917,130.219587618
1,33.595932695,130.219588013
1,33.5959314833,130.219588373
1,33.5959302383,130.21958888
1,33.5959289917,130.219589105
1,33.5959278583,130.219589605
1,33.595926605,130.219590253
1,33.5959254633,130.219590787
1,33.5959243017,130.219591278
1,33.5959231633,130.219591967
1,33.595922095,130.21959261
1,33.595921025,130.219593392
1,33.5959200333,130.21959412
1,33.5959190817,130.219594918
1,33.5959181617,130.219595773
1,33.5959171283,130.219596508
1,33.59591617,130.219597467
1,33.5959152433,130.219598462
1,33.595914335,130.219599528
1,33.5959135267,130.21960069
1,33.595912655,130.219601867
1,33.5959117833,130.219603048
1,33.5959108367,130.219604137
1,33.5959100517,130.219605472
1,33.5959090817,130.21960658
1,33.595908225,130.219607693
1,33.59590743,130.219608752
1,33.595906695,130.219609713
1,33.5959058983,130.219610837
1,33.5959050733,130.219612118
1,33.5959044283,130.219613343
1,33.5959037183,130.219614593
1,33.59590303,130.219615667
1,33.5959024733,130.219616753
1,33.5959012583,130.21962623
1,33.59590065,130.219627765
1,33.5959000483,130.219629077
1,33.595899385,130.219630608
1,33.5958989983,130.219632092
1,33.5958981117,130.219633455
1,33.5958975417,130.219634872
1,33.59589688,130.219636063
1,33.5958961933,130.219637448
1,33.595895475,130.219638748
1,33.595894695,130.219640275
1,33.5958939067,130.21964167
1,33.595893245,130.21964287
1,33.5958924483,130.219643832
1,33.5958916383,130.219645118
1,33.5958907867,130.21964606
1,33.59589021,130.219647198
1,33.59588951,130.219648282
1,33.59588876,130.21964967
1,33.59588815,130.219650837
1,33.595887725,130.21965215
1,33.59588704,130.219653412
1,33.59588647,130.219654967
1,33.59588584,130.219656375
1,33.59588522,130.219657448
1,33.595884745,130.219659458
1,33.595884065,130.219661282
1,33.59588362,130.219663137
1,33.59588303,130.219664907
1,33.5958825233,130.219666417
1,33.5958820383,130.219667957
1,33.5958815667,130.219669652
1,33.59588102,130.219671447
1,33.5958805567,130.219673087
1,33.5958795917,130.219674295
1,33.5958789967,130.219676412
1,33.595878545,130.219678142
1,33.59587808,130.219679242
1,33.5958774783,130.219680313
1,33.5958768333,130.21968204
1,33.5958765917,130.219683903
1,33.59587565,130.219686247
1,33.5958747,130.219687908
1,33.5958740717,130.219689822
1,33.5958735467,130.219691265
1,33.595873065,130.219692753
1,33.5958724567,130.219693742
