field.status.status,field.latitude,field.longitude
1,33.0874353067,129.79009303
1,33.0874357383,129.790093532
1,33.0874359417,129.790093992
1,33.087435885,129.79009434
1,33.0874357367,129.790094547
1,33.087435545,129.79009462
1,33.087435365,129.790094707
1,33.08743529,129.790094815
1,33.0874351717,129.790094915
1,33.08743513,129.790094973
1,33.0874351617,129.790095007
1,33.0874352,129.790095057
1,33.0874352317,129.790095243
1,33.087435325,129.790095387
1,33.0874354217,129.790095437
1,33.0874354417,129.790095427
1,33.0874354283,129.790095448
1,33.0874354167,129.79009543
1,33.08743538,129.790095422
1,33.087435345,129.790095447
1,33.0874353133,129.790095508
1,33.0874353133,129.790095508
1,33.087435315,129.790095535
1,33.08743529,129.790095618
1,33.08743528,129.79009566
1,33.0874352783,129.790095622
1,33.08743528,129.790095585
1,33.0874352783,129.790095578
1,33.087435255,129.790095677
1,33.0874352167,129.790095808
1,33.087435175,129.790095915
1,33.087435155,129.790096007
1,33.0874351617,129.790096068
1,33.0874351667,129.79009606
1,33.0874352233,129.790095923
1,33.08743525,129.790095708
1,33.0874352733,129.790095585
1,33.08743521,129.790095447
1,33.0874351083,129.790095338
1,33.0874350433,129.790095242
1,33.0874350183,129.790095168
1,33.0874350733,129.790094987
1,33.0874352067,129.790094707
1,33.0874353867,129.790094433
1,33.0874356417,129.790094212
1,33.0874359217,129.790094013
1,33.08743624,129.790093835
1,33.0874364433,129.790093777
1,33.0874364217,129.790093892
1,33.0874364867,129.790094327
1,33.0874366933,129.790094943
1,33.08743693,129.790095545
1,33.0874371217,129.790095883
1,33.0874373483,129.790095992
1,33.087437665,129.790095957
1,33.0874379783,129.790095798
1,33.08743828,129.790095775
1,33.0874386133,129.790096028
1,33.087438915,129.79009646
1,33.087439305,129.79009719
1,33.0874397683,129.790098287
1,33.08744034,129.790099543
1,33.0874408817,129.790100698
1,33.0874415567,129.790101682
1,33.0874424067,129.790102738
1,33.0874432983,129.790103775
1,33.087444205,129.790104847
1,33.08744507,129.7901061
1,33.0874459183,129.790107532
1,33.0874467267,129.790108898
1,33.087447565,129.790110158
1,33.0874484383,129.790111405
1,33.08744931,129.79011258
1,33.0874501067,129.790113905
1,33.08745089,129.790115198
1,33.0874516283,129.790116275
1,33.0874525333,129.790117377
1,33.0874535333,129.790118513
1,33.087454525,129.79011963
1,33.0874554017,129.790120702
1,33.0874561233,129.790121852
1,33.087456825,129.790122962
1,33.087457635,129.790124083
1,33.0874585767,129.790125155
1,33.0874596217,129.790126223
1,33.0874605383,129.790127312
1,33.0874612317,129.790128592
1,33.087461865,129.790129903
1,33.087462615,129.79013117
1,33.0874634167,129.790132398
1,33.0874643083,129.790133497
1,33.08746517,129.790134547
1,33.0874659033,129.790135715
1,33.0874666283,129.790136903
1,33.087467335,129.790138052
1,33.0874681817,129.790139188
1,33.0874691517,129.790140322
1,33.0874701917,129.790141405
1,33.0874710383,129.790142548
1,33.0874717933,129.790143785
1,33.0874724333,129.790145035
1,33.08747316,129.790146287
1,33.08747406,129.790147432
1,33.0874751417,129.790148407
1,33.087476175,129.790149343
1,33.087477035,129.790150475
1,33.0874777367,129.79015164
1,33.087478395,129.790152743
1,33.0874790717,129.79015384
1,33.0874799033,129.790154877
1,33.08748077,129.790155835
1,33.0874815367,129.790156798
1,33.08748227,129.790157743
1,33.0874829533,129.790158828
1,33.0874835617,129.790159812
1,33.0874841667,129.79016078
1,33.0874849833,129.790161717
1,33.08748592,129.79016264
1,33.08748684,129.790163613
1,33.08748772,129.790164707
1,33.0874885967,129.790165828
1,33.0874894683,129.790166928
1,33.08749046,129.79016811
1,33.08749153,129.790169213
1,33.0874924533,129.790170232
1,33.0874933083,129.790171332
1,33.087494085,129.790172453
1,33.0874948433,129.79017354
1,33.0874956933,129.790174697
1,33.0874967267,129.790175728
1,33.087497775,129.79017675
1,33.0874988033,129.7901778
1,33.0874997567,129.790179027
1,33.0875005717,129.790180272
1,33.0875015033,129.790181477
1,33.0875024917,129.790182735
1,33.0875034733,129.790183988
1,33.0875045083,129.790185292
1,33.0875054983,129.790186623
1,33.087506375,129.79018796
1,33.087507235,129.790189282
1,33.0875081267,129.790190638
1,33.0875091433,129.790191878
1,33.08751015,129.790193135
1,33.0875110683,129.79019442
1,33.08751193,129.790195677
1,33.0875127883,129.790196833
1,33.0875137267,129.790197963
1,33.0875147517,129.790199133
1,33.087515795,129.79020025
1,33.08751679,129.790201425
1,33.087517735,129.790202722
1,33.0875185183,129.790204007
1,33.0875193633,129.790205403
1,33.0875202183,129.79020671
1,33.0875213383,129.790207815
1,33.087522235,129.790209047
1,33.087523245,129.790210215
1,33.0875242267,129.790211332
1,33.0875252183,129.790212592
1,33.0875260783,129.790214058
1,33.087527055,129.790215338
1,33.0875281983,129.790216547
1,33.0875292067,129.790217868
1,33.08753021,129.79021912
1,33.0875310717,129.790220495
