field.status.status,field.latitude,field.longitude
1,33.5954765924,130.219134675
1,33.595477231,130.219134695
1,33.5954778763,130.219134814
1,33.5954785584,130.219135091
1,33.5954791408,130.219135662
1,33.5954797567,130.219136324
1,33.5954803446,130.219136918
1,33.5954810274,130.219137417
1,33.5954816408,130.219138054
1,33.5954822238,130.219138645
1,33.5954826888,130.219138814
1,33.5954830914,130.219138764
1,33.5954834896,130.219138611
1,33.5954839597,130.219138474
1,33.5954845678,130.219138242
1,33.5954852782,130.219137927
1,33.5954859304,130.219137791
1,33.5954866065,130.21913793
1,33.5954871076,130.219138127
1,33.595487552,130.219138213
1,33.5954879938,130.219138309
1,33.5954884307,130.219138403
1,33.5954888644,130.219138525
1,33.5954894311,130.219138732
1,33.5954900267,130.219138887
1,33.5954907003,130.219138979
1,33.5954914471,130.219138913
1,33.5954920173,130.21913875
1,33.5954924822,130.219138483
1,33.5954927903,130.219138151
1,33.5954931807,130.219137742
1,33.595493645,130.219137371
1,33.595494169,130.219137129
1,33.5954947986,130.219136781
1,33.5954952682,130.219136561
1,33.5954957694,130.219136579
1,33.5954962396,130.219136671
1,33.5954967262,130.219136638
1,33.5954972665,130.219136579
1,33.5954977436,130.219136473
1,33.5954983508,130.219136389
1,33.5954988858,130.219136423
1,33.5954994298,130.219136489
1,33.5954999645,130.219136612
1,33.5955004483,130.21913659
1,33.5955009075,130.219136488
-1,33.5955013959,130.219136501
0,33.595505457,130.219131602
0,33.5955056028,130.219130899
0,33.5955060346,130.219130493
0,33.5955066947,130.219130054
0,33.5955072711,130.219129761
1,33.5955073045,130.219129497
1,33.5955077477,130.219129379
1,33.5955082717,130.219129315
1,33.5955087257,130.21912918
1,33.5955091721,130.219128917
1,33.5955097234,130.219128842
1,33.5955103728,130.219128583
1,33.5955109728,130.219128399
1,33.595511687,130.21912822
1,33.5955123116,130.219127913
1,33.5955130169,130.219127617
1,33.5955135986,130.219127369
1,33.5955142907,130.219126871
1,33.5955148745,130.219126245
1,33.5955154278,130.219125975
1,33.5955159386,130.219125708
1,33.5955164498,130.219125361
1,33.5955168632,130.219125137
1,33.5955174519,130.219124961
1,33.5955180181,130.219124824
1,33.5955187281,130.219124589
1,33.5955194279,130.219124442
1,33.5955201629,130.219124205
1,33.5955207813,130.219124073
1,33.5955211976,130.219124032
1,33.5955214594,130.219123921
1,33.5955217027,130.219123861
1,33.5955219452,130.219123732
1,33.5955223069,130.219123394
1,33.5955228326,130.219122966
1,33.5955234478,130.219122439
1,33.5955241927,130.21912193
1,33.5955248265,130.21912146
1,33.5955254276,130.219121085
1,33.5955259543,130.219120801
1,33.5955265078,130.219120591
1,33.5955270655,130.21912034
1,33.5955276635,130.219120103
1,33.5955283112,130.219119817
1,33.5955290129,130.219119426
1,33.5955296345,130.219119108
1,33.5955302515,130.219118738
1,33.5955307402,130.219118348
1,33.59553116,130.21911785
1,33.5955315521,130.219117378
1,33.595531933,130.219116919
1,33.5955323351,130.219116429
1,33.5955327361,130.219116056
1,33.5955332114,130.219115711
1,33.5955337317,130.219115381
1,33.5955343508,130.219115033
1,33.5955350271,130.219114674
1,33.5955357856,130.219114227
1,33.5955365129,130.219113761
1,33.595537211,130.219113471
1,33.5955377282,130.219113194
1,33.5955381938,130.219112968
1,33.5955385773,130.219112665
1,33.5955389623,130.219112345
1,33.5955395074,130.21911191
1,33.5955398844,130.219111455
1,33.5955404925,130.219111053
1,33.595540988,130.219110632
1,33.5955415983,130.219110384
1,33.5955414996,130.219102481
1,33.5955422725,130.219102632
1,33.5955430423,130.21910242
1,33.5955437545,130.219102201
1,33.5955443993,130.219101916
1,33.5955450504,130.219101577
1,33.5955454723,130.219101232
1,33.5955460015,130.21910084
1,33.595546425,130.219100363
1,33.5955469015,130.21909989
1,33.5955474727,130.219099452
1,33.5955480014,130.219098896
1,33.595548618,130.219098398
1,33.5955490824,130.21909797
1,33.5955495522,130.219097581
1,33.5955500828,130.219097232
1,33.5955506231,130.219096758
1,33.5955512028,130.219096455
1,33.5955518135,130.219096234
1,33.5955523752,130.219095903
1,33.5955529934,130.219095439
1,33.5955535462,130.219094992
1,33.5955539763,130.219094589
1,33.5955544435,130.219094151
1,33.5955549343,130.219093705
1,33.595555389,130.219093211
1,33.5955558668,130.219092577
1,33.5955564522,130.219092065
1,33.5955569884,130.219091489
1,33.5955575124,130.219091018
1,33.5955579837,130.219090614
1,33.5955584024,130.219090223
1,33.5955589101,130.21908995
1,33.5955594283,130.219089501
1,33.5955600166,130.219089003
1,33.5955607299,130.219088458
1,33.5955613563,130.219088037
1,33.5955619402,130.21908777
1,33.5955625357,130.219087362
1,33.595563026,130.219086912
1,33.5955636636,130.219086451
1,33.5955642225,130.219085751
1,33.5955648731,130.219085094
1,33.5955653859,130.21908465
1,33.5955659039,130.219084173
1,33.5955663335,130.219083755
1,33.5955669082,130.219083299
1,33.5955674004,130.219082976
1,33.595568105,130.219082716
1,33.5955686928,130.21908233
1,33.5955692905,130.219082021
1,33.5955698154,130.219081697
1,33.5955702407,130.219081273
1,33.5955707503,130.219080805
1,33.5955712976,130.219080267
1,33.5955718511,130.219079637
1,33.5955723925,130.219079096
1,33.5955727804,130.219078603
1,33.5955732921,130.219078201
1,33.5955738037,130.219077842
1,33.595574341,130.21907759
1,33.5955750104,130.21907725
1,33.5955755993,130.219076964
1,33.5955761684,130.219076749
1,33.5955766039,130.21907644
1,33.5955769672,130.219075952
1,33.5955774084,130.219075464
1,33.5955778824,130.21907491
1,33.5955783854,130.219074228
